"id","horario_partida","ponto_saida","tipo_onibus","destino","created_at"
1,"06:30","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
2,"06:32","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
3,"06:34","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
4,"06:36","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
5,"06:38","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
6,"06:41","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
7,"06:42","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
8,"06:45","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
9,"06:47","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
10,"06:49","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
11,"06:51","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
12,"06:53","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
13,"06:55","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
14,"06:58","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
15,"06:59","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
16,"07:00","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
17,"07:04","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
18,"07:05","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
19,"07:07","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
20,"07:09","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
21,"07:12","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
22,"07:14","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
23,"07:19","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
24,"07:22","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
25,"07:24","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
26,"07:26","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
27,"07:28","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
28,"07:55","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
29,"07:59","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
30,"08:00","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
31,"08:02","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
32,"08:04","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
33,"08:04","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
34,"08:06","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
35,"08:08","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
36,"08:11","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
37,"08:13","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
38,"08:16","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
39,"08:19","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
40,"08:21","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
41,"08:23","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
42,"08:25","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
43,"08:30","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
44,"08:35","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
45,"08:39","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
46,"08:44","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
47,"08:55","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
48,"09:00","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
49,"09:02","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
50,"09:04","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
51,"09:07","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
52,"09:09","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
53,"09:11","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
54,"09:14","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
55,"09:16","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
56,"09:18","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
57,"09:20","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
58,"10:30","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
59,"10:33","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
60,"10:35","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
61,"10:35","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
62,"10:37","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
63,"10:39","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
64,"10:39","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
65,"10:44","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
66,"10:44","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
67,"10:45","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
68,"10:50","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
69,"10:52","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
70,"10:54","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
71,"10:57","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
72,"10:59","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
73,"11:02","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
74,"11:04","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
75,"11:06","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
76,"11:08","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
77,"11:10","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
78,"11:40","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
79,"11:45","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
80,"11:49","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
81,"12:20","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
82,"12:22","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
83,"12:24","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
84,"12:26","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
85,"12:28","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
86,"12:31","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
87,"12:33","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
88,"12:35","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
89,"12:37","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
90,"12:39","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
91,"12:41","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
92,"12:43","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
93,"12:45","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
94,"12:48","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
95,"12:49","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
96,"12:54","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
97,"13:00","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
98,"13:05","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
99,"13:07","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
100,"13:09","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
101,"13:12","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
102,"13:14","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
103,"13:17","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
104,"13:19","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
105,"13:21","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
106,"13:23","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
107,"13:25","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
108,"14:10","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
109,"14:12","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
110,"14:14","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
111,"14:16","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
112,"14:18","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
113,"14:21","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
114,"14:23","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
115,"14:25","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
116,"14:27","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
117,"14:29","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
118,"14:31","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
119,"14:33","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
120,"14:38","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
121,"15:00","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
122,"15:05","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
123,"15:07","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
124,"15:09","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
125,"15:12","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
126,"15:14","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
127,"15:17","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
128,"15:19","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
129,"15:21","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
130,"15:23","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
131,"15:25","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
132,"15:50","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
133,"15:55","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
134,"15:59","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
135,"17:00","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
136,"17:05","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
137,"17:09","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
138,"17:10","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
139,"17:15","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
140,"17:17","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
141,"17:19","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
142,"17:22","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
143,"17:24","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
144,"17:27","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
145,"17:29","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
146,"17:31","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
147,"17:33","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
148,"17:35","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
149,"17:40","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
150,"17:40","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
151,"17:42","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
152,"17:44","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
153,"17:44","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
154,"17:46","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
155,"17:48","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
156,"17:49","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
157,"17:50","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
158,"17:52","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
159,"17:55","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
160,"17:57","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
161,"17:59","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
162,"18:01","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
163,"18:03","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
164,"18:08","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
165,"18:20","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
166,"18:25","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
167,"18:29","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
168,"18:40","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
169,"18:51","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
170,"18:53","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
171,"18:56","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
172,"18:58","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
173,"19:00","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
174,"19:02","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
175,"19:04","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
176,"19:20","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
177,"19:25","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
178,"19:29","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
